tenure,MonthlyCharges,TotalCharges,SupportTickets,AppLogins,WebsiteVisits,SatisfactionScore,gender_Female,gender_Male,SeniorCitizen_0,SeniorCitizen_1,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,PhoneService_No,PhoneService_Yes,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,PromotionUsed_Cashback,PromotionUsed_Discount,PromotionUsed_FreeAddon,PromotionUsed_nan
1.03860314,-1.315062045,-0.363691804,-1.013342167,-1.447195384,-1.513801255,-1.408659291,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
1.608483427,1.326347037,2.384368197,-1.013342167,0.050423644,1.694307178,-0.700748628,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1
-0.182568906,-0.968294144,-0.588931466,-1.013342167,1.432841208,-0.258454477,-0.700748628,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0.305899913,0.667653943,0.462399192,-1.013342167,1.548042671,-1.165093816,-1.408659291,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
-1.281623746,-1.474342994,-1.002086741,-1.013342167,-0.871188065,-0.816386378,-1.408659291,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
-1.118800807,0.500077111,-0.829957006,-1.013342167,0.626430962,0.717926351,0.715072699,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
-1.281623746,0.141694974,-0.980702256,0.0012606,-0.410382211,0.229735937,0.007162035,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
-0.833860663,1.339620449,-0.450942259,0.0012606,0.972035353,1.066633789,1.422983362,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
-1.118800807,1.034331963,-0.811997551,0.0012606,-0.986389529,-0.74664489,-0.700748628,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
1.567777693,0.702496651,1.643705364,0.0012606,1.548042671,1.694307178,0.715072699,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1
-1.200212276,0.39886734,-0.910796507,0.0012606,-0.410382211,1.206116765,-1.408659291,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
-0.101157436,-1.502548996,-0.723100447,0.0012606,-0.755986602,1.066633789,-1.408659291,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
-0.30468611,-1.484298054,-0.788066249,0.0012606,0.511229499,0.996892302,-1.408659291,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0
0.794368731,-1.339949693,-0.426615761,-1.013342167,0.972035353,-0.537420427,0.007162035,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0
0.550134322,1.495583046,1.129467781,-1.013342167,1.432841208,0.578443376,0.715072699,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
-0.955977867,0.184833564,-0.748546667,1.015863367,0.280826571,1.34559974,1.422983362,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
-0.548920519,0.727384299,-0.324150267,0.0012606,-0.410382211,1.694307178,0.007162035,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
-0.833860663,-0.515338943,-0.742508953,-1.013342167,-1.216792456,-0.258454477,1.422983362,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
0.509428587,1.120609144,0.976219624,1.015863367,-0.640785138,1.206116765,1.422983362,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
0.143076973,1.313073624,0.606996951,0.0012606,0.165625108,-0.328195964,0.007162035,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0
0.224488443,1.001148431,0.609741367,-1.013342167,-0.295180747,-0.258454477,0.715072699,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
-1.281623746,-1.517481585,-1.002657579,2.030466134,-1.101590993,-1.304576792,-0.700748628,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
-0.915272133,1.113972437,-0.555405688,-1.013342167,0.280826571,-0.886127866,-0.700748628,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
-0.793154928,-0.667983187,-0.765540087,-1.013342167,-1.101590993,0.369218913,-0.700748628,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
-0.589626254,0.566444173,-0.38516411,0.0012606,0.280826571,-0.188712989,0.007162035,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0
0.183782708,-0.648073068,-0.311547911,3.0450689,0.165625108,-0.955869353,0.715072699,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
-1.118800807,-1.479320524,-0.957517435,0.0012606,-1.101590993,-1.095352329,0.715072699,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
-0.874566398,0.332500278,-0.6529971,1.015863367,1.317639744,-1.583542743,-0.700748628,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
1.282837549,1.135541733,1.698725404,0.0012606,-1.101590993,0.159994449,-1.408659291,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
-1.281623746,-0.311260227,-0.986696059,0.0012606,0.050423644,-0.816386378,-1.408659291,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
0.183782708,0.91487125,0.514103978,1.015863367,0.972035353,-1.165093816,0.715072699,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
0.631545791,1.337961273,1.183346144,0.0012606,-0.871188065,-1.65328423,0.715072699,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0
-0.508214784,0.982897489,-0.176939824,0.0012606,-0.295180747,1.136375277,-0.700748628,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
-0.263980375,0.151650033,-0.220674828,-1.013342167,1.087236817,0.927150814,-0.700748628,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
-0.101157436,-1.510844879,-0.757065333,0.0012606,0.972035353,1.34559974,-1.408659291,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0
1.486366223,0.065372852,0.999097071,-1.013342167,1.20243828,-0.955869353,0.715072699,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1.242131814,0.812002304,1.44687589,1.015863367,1.548042671,-1.234835304,-0.700748628,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0
-1.118800807,-1.512504055,-0.955739053,2.030466134,0.165625108,-1.444059767,0.715072699,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
0.265194178,-1.476002171,-0.664194315,0.0012606,-0.755986602,0.020511474,0.715072699,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1
-1.159506542,1.220159737,-0.851012161,1.015863367,0.741632426,-1.723025718,0.715072699,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
1.120014609,1.201908795,1.653146153,2.030466134,1.20243828,1.34559974,0.715072699,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0
-0.548920519,1.273253387,-0.127298838,-1.013342167,0.050423644,0.090252962,-0.700748628,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
-0.874566398,1.230114796,-0.508157832,0.0012606,1.317639744,0.229735937,-1.408659291,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
-0.060451701,1.162088558,0.388190199,1.015863367,-0.410382211,-1.025610841,0.715072699,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
-0.101157436,0.642766295,0.059716606,-1.013342167,-0.410382211,-0.049230014,0.007162035,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0.835074465,-1.338290517,-0.449471253,3.0450689,-0.640785138,-0.676903403,-0.700748628,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
-1.118800807,0.810343127,-0.808352968,-1.013342167,-0.986389529,-0.46767894,0.007162035,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
0.753662996,0.486803698,0.73422805,1.015863367,-0.986389529,-1.165093816,-1.408659291,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
1.567777693,0.808683951,1.794209105,0.0012606,-0.640785138,-1.095352329,0.715072699,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1
1.160720344,-1.325017104,-0.353153249,0.0012606,-0.295180747,0.299477425,1.422983362,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
-0.996683602,0.317567689,-0.744748396,0.0012606,-0.410382211,-1.513801255,1.422983362,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
-0.915272133,-0.331170345,-0.76130271,0.0012606,-0.410382211,-0.607161915,0.007162035,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
-0.833860663,-0.500406354,-0.740093868,0.0012606,-1.216792456,1.066633789,1.422983362,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0
1.364249018,-0.035836918,0.861525015,-1.013342167,-0.986389529,0.090252962,0.715072699,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0
-0.345391845,-0.148660924,-0.378445782,-1.013342167,-0.871188065,0.508701888,0.715072699,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
-1.159506542,-0.279735872,-0.907854493,0.0012606,0.165625108,-0.955869353,1.422983362,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
-1.159506542,0.797069715,-0.855117807,0.0012606,1.432841208,0.159994449,1.422983362,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
0.102371238,-0.30960105,-0.125652189,0.0012606,-0.986389529,-0.328195964,-1.408659291,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
0.509428587,0.689223238,0.647899718,1.015863367,0.856833889,0.857409326,0.007162035,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
1.323543284,1.495583046,2.123538955,1.015863367,-1.677598311,-0.676903403,1.422983362,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
-0.752449193,0.529942289,-0.504886489,0.0012606,0.856833889,1.485082715,-1.408659291,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1
1.160720344,-0.472200353,0.345201676,0.0012606,0.626430962,-1.025610841,0.007162035,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0
1.445660488,0.511691346,1.349174701,0.0012606,-1.447195384,1.34559974,0.715072699,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
-0.38609758,-0.238256458,-0.447780693,0.0012606,-1.677598311,-0.188712989,-0.700748628,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
0.916485935,0.551511584,0.969062188,1.015863367,0.050423644,-0.74664489,1.422983362,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1.486366223,-1.343268046,-0.256615692,-1.013342167,-1.33199392,0.578443376,1.422983362,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0
-1.037389337,0.541556525,-0.756362762,1.015863367,0.741632426,0.020511474,0.715072699,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0
1.608483427,0.468552756,1.505299005,0.0012606,-0.986389529,0.578443376,-0.700748628,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
1.160720344,-0.505383884,0.289281467,-1.013342167,1.317639744,-0.118971501,-1.408659291,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
1.282837549,0.51003217,1.192216095,0.0012606,-1.101590993,-0.46767894,-0.700748628,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
-0.019745966,0.938099722,0.275932631,1.015863367,-1.216792456,-1.513801255,-1.408659291,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
